Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
50311;BELAGRICOLA;59095;BELAGRICOLA;;;;;;;;;0,996;0,261;;
50330;SANEN;59104;SANEN;;;;;;;;;;;;0,067
50331;SANTA HELENA IND;59105;SANTA HELENA IND;;0,070;0,106;;;;0,134;;0,242;0,132;;
50333;GRANJA PINHEIROS;59107;GRANJA PINHEIROS;;;;;;;;0,104;0,061;;;
50334;SANCHEZ CANO;74005;SANCHEZ CANO CL;;;;;;;;;;;;0,558
50336;BOULEVARD SHOP BAURU;59112;BOULEVARD SHOP BAURU;;;;;;;;;0,030;;;
50350;CASSOL;59124;CASSOL;;;;;;;0,022;;0,065;;;
50362;CVI;59170;CVI;0,024;0,070;0,093;0,189;;0,122;0,070;0,109;0,179;0,052;0,151;0,145
50363;SERRANOPOLIS;59176;SERRANOPOLIS;;;;;;;;;;;26,524;3,116
50363;SERRANOPOLIS;70821;SERRANOPOLIS I5;;;;0,450;2,480;2,082;2,483;2,358;2,370;1,845;2,331;
50364;TIBAGI;68445;TIBAGI I5;;;;;;;;;;8,129;12,485;17,066
50364;TIBAGI;89305;TIBAGI I0;;;;;;;;;;0,672;1,389;
50365;AGRIMIG;59178;AGRIMIG;0,054;;;0,182;0,112;0,250;;;;;;
50365;AGRIMIG;85465;AGRIMIG CL;;;;;;;0,447;0,302;0,406;0,391;0,262;0,082
50377;ALTESO;63139;ALTESO I5;0,186;3,014;2,753;2,856;1,020;1,486;2,330;3,109;2,130;1,978;1,699;1,926
50381;THERMOVAC;59186;THERMOVAC;;;;0,139;;;;;;;;
50382;SHOP GOIABEIRAS;59187;SHOP GOIABEIRAS;;;0,229;0,196;0,186;0,157;;;;;;
50382;SHOP GOIABEIRAS;85361;SHOP GOIABEIRAS CL;;;;;;;0,191;0,184;0,186;0,261;0,315;0,289
50383;DEMORE;59188;DEMORE;;;;;;;;;0,014;;0,005;0,118
50384;MOINHO CIDADE BELLA;59189;MOINHO CIDADE BELLA;;;;;;;;;;;;0,019
50385;PCH MAFRAS;59175;PCH MAFRAS I5;2,250;2,250;2,250;2,826;3,110;3,860;3,860;3,860;3,860;3,110;2,840;2,250
50390;PROPAPER;59204;PROPAPER;;;;;;;;;;0,044;0,060;0,053
50397;SHOP CONTINENTE;59226;SHOP CONTINENTE;;;;;;;0,200;0,226;;;0,069;
50402;VONPAR ALIMENTOS;59231;VONPAR ALIMENTOS;;;;;0,133;0,317;;0,000;;0,000;;
50402;VONPAR ALIMENTOS;85877;NEUGEBAUER;;;;;;;0,215;;0,343;;0,264;0,358
50403;PEVESUL;59232;PEVESUL;;;;0,041;;;0,016;;0,030;;0,014;0,059
50431;SECRETARIO ENERGIA;71154;SECRETARIO ENERGIA I5;1,280;1,280;1,280;1,400;1,400;1,399;1,512;1,520;1,520;1,400;1,400;1,400
50434;BELOACO;59311;BELOACO;0,070;;;;;;;;;;;
50454;GRAMATURA;59348;GRAMATURA;0,215;0,120;;0,013;;0,006;0,012;0,043;0,051;0,123;0,035;0,185
50456;FERMAG;59350;FERMAG;;;;0,056;0,128;0,083;0,067;0,122;0,104;;;
50474;SAFRIO CL;59372;SAFRIO;;;;0,075;;;;;;;;
50474;SAFRIO CL;69061;SAFRIO CL;;;;;;;;0,080;;;;0,175
50495;CPFL SAO BENEDITO;64344;CPFL SAO BENEDITO I5;14,186;15,150;9,447;12,484;16,389;19,469;20,471;21,778;21,572;19,099;15,992;14,190
50511;CPFL CAMPOS DOS VENTOS V;62355;CPFL CAMPOS DOS VENTOS V I5;11,140;10,940;9,342;9,242;10,641;12,639;14,137;15,536;16,035;15,016;14,355;13,338
50512;CPFL SAO DOMINGOS;60395;CPFL SAO DOMINGOS I5;11,720;12,235;7,432;9,383;12,189;15,582;16,041;17,343;16,934;16,276;13,892;12,240
50513;CPFL CAMPOS DOS VENTOS I;60346;CPFL CAMPOS DOS VENTOS I I5;11,641;11,341;9,643;9,543;11,142;13,040;14,638;15,837;16,436;15,816;15,156;13,939
50514;CPFL VENTOS DE SAO MARTINHO;64329;CPFL VENTOS DE SÃO MARTINHO I5;7,395;7,557;4,777;6,899;8,941;10,182;10,510;10,857;11,667;10,316;8,685;7,601
50515;CPFL SANTA MONICA;64328;CPFL SANTA MONICA I5;13,534;14,296;9,202;12,295;15,990;19,284;20,208;20,705;20,305;18,406;15,498;13,614
50516;CPFL SANTA URSULA;64345;CPFL SANTA URSULA I5;14,773;15,672;10,842;14,830;17,807;20,233;21,611;20,925;21,373;19,654;16,921;15,175
