Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
15275;PCH SPESSATTO;58704;PCH SPESSATTO I5;1,299;1,300;1,300;1,300;1,300;1,300
13592;CGH ANDORINHAS II;58709;CGH ANDORINHAS II I5;0,470;0,470;0,470;0,470;0,470;0,470
2506;FOCUS;58753;FOCUS I0;;;;56,000;23,400;
49993;FS AGRISOLUTIONS;58754;FS AGRISOLUTIONS;47,881;47,881;47,881;31,881;31,881;31,881
49994;LOG ENERGIA;58755;LOG ENERGIA;49,500;75,500;36,500;26,500;36,500;26,500
49996;PRIME ENERGY CON;58757;PRIME ENERGY CON;32,800;32,800;32,800;;;
49997;DIRECIONAL ENERGIA;58758;DIRECIONAL ENERGIA;2,000;2,000;2,000;2,000;2,000;2,000
8268;EOL CAICARA I;58759;EOL CAICARA I I5;13,500;13,500;13,500;13,500;13,500;13,500
8263;EOL CAICARA II;58760;EOL CAICARA II I5;9,627;9,608;9,626;9,597;9,631;9,543
8264;EOL JUNCO I;58761;EOL JUNCO I I5;12,100;12,100;12,100;12,100;12,100;12,100
8265;EOL JUNCO II;58762;EOL JUNCO II I5;11,807;11,782;11,805;11,770;11,812;11,704
7183;PATENSE PIE;58791;PATENSE PIE I5;;;;;0,052;
14223;CAETITE C;58798;CAETITE C I5;4,034;4,186;4,171;4,224;4,282;4,307
50089;EMEWE;58833;EMEWE;63,200;53,716;52,026;56,000;56,000;56,000
50091;VIDROPORTO;58845;VIDROPORTO;;;;3,569;3,568;6,768
13412;CPFL MATA VELHA;58847;CPFL MATA VELHA I5;13,203;13,642;13,315;12,986;12,426;12,339
2583;BPBUNGE TRP;58849;BPBUNGE TRP I0;;;;;0,611;0,451
13072;ENERPLAN III;58877;ENERPLAN III I5;11,000;11,000;11,000;11,000;11,000;11,000
49665;HYDRO ENERGIA;58890;HYDRO ENERGIA I5;3,193;2,758;2,978;3,153;3,163;3,138
16377;FC ONE;58907;FC ONE I0;;;;;15,000;42,000
16377;FC ONE;58908;FC ONE I1;15,228;14,960;14,764;15,519;21,603;16,097
16377;FC ONE;58909;FC ONE I5;4,888;4,870;4,836;5,041;4,934;4,938
1720;UTE USJ;58956;UTE USJ I5;;;;;5,770;7,876
1383;KLABIN PUMA;58999;KLABIN PUMA I5;112,427;112,220;107,552;27,778;112,427;112,427
50134;TERMOVERDE CAIEIRAS;59007;TERMOVERDE CAIEIRAS I1;24,800;24,800;24,800;24,800;24,800;24,800
143;ECOM;59010;ECOM PIE I5;0,399;0,277;0,300;0,274;0,434;0,400
50233;LATIC TIROL;59027;LATIC TIROL;0,529;0,328;0,485;0,205;;
2998;METALSIDER;59066;METALSIDER FUNDICAO;1,804;0,423;;0,055;;1,495
50249;CONFLUENCIA;59093;CONFLUENCIA;6,112;5,537;2,192;2,086;;
50311;BELAGRICOLA;59095;BELAGRICOLA;;0,283;;;;
50350;CASSOL;59124;CASSOL;;;;;;0,027
15637;PCH CAZUZA FERREIRA;59129;PCH CAZUZA FERREIRA I5;6,130;6,130;6,130;6,130;6,130;6,130
50375;SHOPPING ROYAL PLAZA;59152;SHOPPING ROYAL PLAZA;;;0,619;;;
