Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/20;fev/20;mar/20;abr/20;mai/20;jun/20;jul/20;ago/20;set/20;out/20;nov/20;dez/20
3;RGE SUL;3;RGE SUL;0,711;0,711;0,711;0,711;0,711;0,711;0,711;0,711;0,711;2,012;2,012;2,012
3;RGE SUL;83729;RGE DIST;1,504;1,579;1,479;1,597;1,585;1,462;1,467;1,474;1,480;2,407;2,501;2,472
5;BANDEIRANTE;5;BANDEIRANTE;142,796;142,796;142,796;139,540;142,796;142,796;142,796;142,796;142,796;161,557;161,557;161,557
8;ENERGISA MG;8;ENERGISA MG;1,269;1,269;1,269;1,269;1,269;1,269;1,269;1,269;1,269;2,263;2,263;2,263
10;CEAL;10;CEAL;1,061;1,061;1,061;1,061;1,061;1,061;1,061;1,061;1,061;2,638;2,638;2,638
12;CEEE-GT;12;CEEE-GT;227,937;440,840;265,059;248,040;218,540;226,540;257,040;257,640;257,640;255,624;248,373;225,975
12;CEEE-GT;11898;CEEE-GT BUGRES;9,231;9,296;9,309;9,065;8,730;8,581;8,474;8,695;9,014;9,212;9,245;9,165
12;CEEE-GT;11899;CEEE-GT CANASTRA;22,154;22,309;22,343;21,755;20,953;20,594;20,338;20,869;21,634;22,108;22,187;21,995
12;CEEE-GT;11900;CEEE-GT CAPIGUI;0,637;0,641;0,642;0,625;0,602;0,592;0,585;0,600;0,622;0,636;0,638;0,632
12;CEEE-GT;11901;CEEE-GT ERNESTINA;2,991;3,012;3,016;2,937;2,829;2,780;2,746;2,817;2,921;2,985;2,995;2,969
12;CEEE-GT;11903;CEEE-GT FORQUILHA;0,877;0,883;0,884;0,861;0,829;0,815;0,805;0,826;0,856;0,875;0,878;0,871
12;CEEE-GT;11904;CEEE-GT GUARITA;0,914;0,920;0,922;0,897;0,864;0,849;0,839;0,861;0,892;0,912;0,915;0,907
