Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22
3;RGE SUL;3;RGE SUL;9,081;9,081;9,081;9,130;9,130;9,130;9,204;9,204;9,203;10,525;10,525;10,525
3;RGE SUL;83729;RGE DIST;10,199;10,025;9,517;9,401;9,113;8,954;8,989;9,018;9,070;10,179;10,560;12,834
5;BANDEIRANTE;5;BANDEIRANTE;170,925;170,925;170,925;165,372;165,361;161,440;164,025;161,983;161,910;168,762;168,762;168,762
8;ENERGISA MR;8;ENERGISA MR;2,752;2,752;2,752;2,782;2,782;2,782;2,808;2,808;2,808;3,178;3,178;3,178
10;CEAL;10;CEAL;22,362;22,362;22,362;22,387;22,387;22,387;22,409;22,409;22,409;23,219;23,219;23,219
13;ENERGISA BO;13;ENERGISA BO;;;;;;;0,003;0,003;0,003;0,402;0,402;0,402
15;CELG;15;CELG;255,520;255,520;255,520;248,774;248,763;246,037;247,524;246,105;246,054;246,064;246,064;246,064
17;CELPE;17;CELPE;115,180;115,180;115,180;115,604;115,604;115,604;116,013;116,013;116,013;126,176;126,176;126,176
18;ENERGISA TO;18;ENERGISA TO;;;;;;;0,016;0,016;0,016;0,016;0,016;0,016
20;ENERGISA MT;20;ENERGISA MT;14,505;14,505;14,505;14,599;14,599;14,599;14,749;14,749;14,749;18,720;18,720;18,720
21;CEMIG H COMERCIALIZACAO;26106;CEMIG H COMERCIALIZACAO I0;12,125;15,451;15,812;5,823;5,391;;;;;;;
21;CEMIG H COMERCIALIZACAO;30816;CEMIG H COMERCIALIZACAO I5;128,877;134,002;134,906;193,667;185,626;190,292;263,445;302,811;300,567;328,750;364,963;345,590
21;CEMIG H COMERCIALIZACAO;30832;CEMIG H COMERCIALIZACAO;396,028;391,577;487,931;497,771;631,831;696,602;934,693;992,791;996,820;976,042;1.010,834;958,616
21;CEMIG H COMERCIALIZACAO;34378;CEMIG H COMERCIALIZACAO I1;2,443;0,160;;;2,954;2,798;3,420;2,871;3,027;2,809;3,551;3,517
21;CEMIG H COMERCIALIZACAO;34681;CEMIG H COM INC_NESP;;;;;;;;2,871;16,205;13,897;20,297;19,739
22;CEPISA;22;CEPISA;11,500;11,500;11,500;11,531;11,531;11,531;11,555;11,555;11,555;12,262;12,262;12,262
23;CESP;23;CESP;911,347;965,599;974,024;918,141;874,173;841,927;882,369;869,876;871,386;859,170;904,138;927,279
23;CESP;26633;CESP I5;2,868;2,713;2,726;2,497;2,657;2,811;2,714;2,705;0,166;0,160;0,166;0,114
23;CESP;41336;CESP PARAIBUNA;;;;;;37,094;40,721;41,573;43,001;44,141;44,090;44,363
24;AMPLA;24;AMPLA;67,286;67,286;67,286;67,345;67,345;67,345;67,409;67,409;67,409;74,021;74,021;109,736
25;CGTESUL;2927;CGTEE 1LN10;227,000;227,000;227,000;227,000;227,000;227,000;348,353;267,569;308,254;227,000;227,000;227,000
25;CGTESUL;96955;CGTESUL I5;;;;;;;;;;1,436;;
25;CGTESUL;97043;CGTESUL_I8;0,007;0,007;0,007;0,006;0,005;0,004;0,004;0,005;0,005;0,006;0,007;0,007
25;CGTESUL;97080;CGTESUL;292,977;298,121;313,146;358,927;352,520;351,381;412,173;421,311;428,421;428,263;425,675;394,456
25;CGTESUL;97117;CGTESUL_I5;120,665;123,671;122,783;109,335;106,913;118,170;154,602;153,421;154,493;153,467;153,624;187,228
26;CHESF;26;CHESF;495,500;528,313;524,691;509,679;424,463;497,577;504,230;565,141;541,492;524,841;493,740;496,882
26;CHESF;11912;CHESF BOA ESPERANCA;123,118;126,188;124,290;120,062;115,160;113,847;112,643;115,158;118,948;122,087;121,705;122,593
26;CHESF;11913;CHESF FUNIL;9,878;10,125;9,972;9,633;9,240;9,135;9,038;9,240;9,544;9,796;9,765;9,836
26;CHESF;11914;CHESF LUIZ GONZAGA;825,411;845,994;833,268;804,926;772,061;763,257;755,186;772,049;797,455;818,497;815,936;821,891
26;CHESF;11918;CHESF COMPLEXO PAULO AFONSO;1.914,997;1.962,750;1.933,225;1.867,472;1.791,222;1.770,797;1.752,071;1.791,194;1.850,139;1.898,955;1.893,015;1.906,830
26;CHESF;11919;CHESF PEDRA;3,388;3,472;3,420;3,304;3,169;3,133;3,100;3,169;3,273;3,360;3,349;3,373
26;CHESF;11920;CHESF XINGO;1.850,312;1.896,452;1.867,925;1.804,392;1.730,718;1.710,982;1.692,890;1.730,690;1.787,644;1.834,812;1.829,072;1.842,421
26;CHESF;99102;CHESF I5-A;40,700;40,932;43,664;44,592;49,940;52,252;56,372;58,516;55,276;46,204;42,844;42,496
30;COELBA;30;COELBA;;;;0,099;0,099;0,099;0,272;0,272;0,272;3,578;3,578;3,578
31;COELCE;31;COELCE;86,567;86,567;86,567;86,608;86,608;86,608;86,652;86,652;86,652;86,707;86,707;86,707
33;COSERN;33;COSERN;32,370;32,370;32,370;32,537;32,537;32,537;32,712;32,712;32,712;37,057;37,057;37,057
34;CPFL PAULISTA;34;CPFL PAULISTA;78,340;78,407;78,314;79,157;79,194;79,027;79,436;79,717;79,704;92,070;92,032;91,909
35;CPFL GERACAO;35;CPFL GERACAO;;33,447;72,040;72,040;72,040;72,040;72,040;72,040;72,040;72,040;72,040;72,040
36;NEXA;36;NEXA;;;;;;;;1,185;2,177;2,157;3,893;3,693
36;NEXA;72606;NEXA TRES MARIAS;;;;;;;;1,185;2,177;2,157;3,893;
36;NEXA;72608;NEXA VAZANTE;;;;;;;;;;;;3,693
37;CSN ENERGIA;37;CSN ENERGIA;80,783;77,498;74,798;76,119;74,855;80,979;81,886;79,278;80,242;82,402;76,230;71,587
37;CSN ENERGIA;2474;CSN ENERGIA I5;2,117;2,566;6,202;5,676;6,243;6,283;5,865;6,019;5,207;6,025;5,805;5,818
37;CSN ENERGIA;2600;CSN ENERGIA I1;;;;0,365;0,418;0,454;0,424;0,430;0,433;0,518;0,478;0,425
39;CVRD;39;CVRD;;;38,160;;;32,763;21,856;17,452;35,259;;28,174;33,337
39;CVRD;1834;CVRD PIE;764,237;868,713;815,635;754,406;785,871;903,589;1.090,297;1.082,261;1.096,858;1.089,969;1.125,413;996,137
39;CVRD;5044;CVRD PIE I5;23,760;23,760;23,760;23,760;23,760;23,760;23,760;23,760;23,760;23,760;23,760;23,760
39;CVRD;5558;CVRD APE I5;25,645;20,466;27,607;23,796;;;;;;;;
40;DFESA;40;DFESA;65,940;65,940;65,940;65,940;65,940;65,940;65,940;65,940;65,940;65,940;65,940;65,940
41;RIO PARANAPAN;41;RIO PARANAPAN;864,083;868,683;910,055;883,924;818,233;826,133;924,247;910,577;952,810;921,123;903,321;938,478
42;CTG TRADING;30004;CTG TRADING I5;4,633;5,231;5,446;4,902;5,334;5,057;5,132;5,488;5,381;5,115;5,186;4,402
42;CTG TRADING;92504;CTG TRADING;268,515;231,593;291,089;266,076;303,982;356,723;322,660;340,500;322,742;332,524;376,203;334,996
46;ELEKTRO;46;ELEKTRO;27,256;27,332;27,385;27,621;27,599;27,545;27,873;27,902;27,984;35,037;35,016;34,849
47;ELETROBRAS;1718;ACEP;1.175,106;1.165,203;1.137,477;1.130,931;1.241,473;1.281,982;1.285,436;1.375,693;1.413,767;1.427,805;1.378,619;1.323,825
47;ELETROBRAS;1719;ACEI;6.087,506;6.078,137;6.082,293;6.092,734;6.086,920;;;;;;;
47;ELETROBRAS;59764;ACEP AGUA LIMPA;9,557;13,869;13,869;13,869;13,869;11,758;11,827;11,395;11,331;11,242;11,247;11,597
47;ELETROBRAS;59827;ACEP ALTO IRANI;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526
47;ELETROBRAS;59828;ACEP ALTO SUCURIU;23,293;25,691;24,361;22,503;20,094;18,164;16,418;15,865;14,789;16,013;18,717;21,511
47;ELETROBRAS;59829;ACEP AQUARIUS;3,598;3,601;3,598;3,598;3,598;3,598;3,598;3,598;3,598;3,598;3,598;3,598
47;ELETROBRAS;59830;ACEP AREIA;7,071;11,269;11,269;11,269;11,269;8,090;8,289;8,057;8,023;7,975;7,978;8,166
47;ELETROBRAS;59831;ACEP AREIA BRANCA;14,840;14,840;16,992;2,883;14,088;8,268;6,385;6,176;6,748;8,478;9,901;14,840
47;ELETROBRAS;59832;ACEP BONFANTE;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230
47;ELETROBRAS;59833;ACEP BURITI;28,360;31,399;28,360;27,506;23,660;21,393;20,112;19,224;19,865;25,435;28,250;28,360
47;ELETROBRAS;59834;ACEP CACADOR;22,435;22,435;22,435;22,435;22,435;22,435;1,353;1,353;1,353;1,353;1,353;21,623
47;ELETROBRAS;59835;ACEP CACHOEIRA DA LIXA;6,356;4,739;7,026;7,725;7,599;7,963;8,240;8,034;6,384;6,479;9,155;9,365
47;ELETROBRAS;59836;ACEP CALHEIROS;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735
47;ELETROBRAS;59837;ACEP CARANGOLA;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527
47;ELETROBRAS;59838;ACEP CARLOS GONZATTO;4,997;3,950;3,850;4,500;5,170;5,597;6,200;5,100;4,800;5,087;5,180;4,881
47;ELETROBRAS;59839;ACEP CIDEZAL;14,115;13,943;14,068;14,689;14,101;12,829;12,531;12,465;12,212;12,478;13,382;13,656
47;ELETROBRAS;59840;ACEP COCAIS GRANDE;5,014;5,014;5,014;5,014;5,014;5,014;5,014;5,014;5,014;5,014;5,014;5,014
47;ELETROBRAS;59841;ACEP COLINO 1;5,624;4,291;6,786;7,681;7,365;7,193;6,870;6,393;5,333;5,417;8,243;7,964
47;ELETROBRAS;59842;ACEP COLINO 2;4,273;3,192;4,336;5,312;5,221;4,959;4,906;4,781;3,697;3,435;6,312;5,759
47;ELETROBRAS;59843;ACEP COTIPORA;21,290;21,290;21,290;21,290;21,290;21,290;1,284;1,284;1,284;1,284;1,284;20,520
47;ELETROBRAS;59844;ACEP ESMERALDA;9,651;9,651;15,578;14,465;17,251;12,064;10,230;9,651;9,350;8,807;11,099;16,696
47;ELETROBRAS;59845;ACEP FIGUEIROPOLIS;12,543;12,543;12,543;12,543;12,543;12,543;12,543;12,543;12,543;12,543;12,543;12,543
47;ELETROBRAS;59846;ACEP FLOR DO SERTAO;8,460;8,460;8,460;8,460;8,460;8,460;8,460;8,387;8,460;8,533;8,460;8,460
47;ELETROBRAS;59847;ACEP FUMACA IV;2,542;2,542;2,542;2,542;2,542;2,542;2,542;2,542;2,542;2,542;2,542;2,542
47;ELETROBRAS;59848;ACEP FUNIL;14,225;14,225;14,225;14,225;14,225;14,225;14,225;14,225;14,225;14,225;14,225;14,225
47;ELETROBRAS;59849;ACEP ILHA;14,701;16,331;15,606;12,798;15,902;20,772;24,282;22,628;21,667;23,580;20,578;17,034
47;ELETROBRAS;59850;ACEP IRARA;17,851;17,851;17,851;17,851;17,851;17,851;17,851;17,851;17,851;17,851;17,851;17,851
47;ELETROBRAS;59851;ACEP JARARACA;15,471;16,956;16,242;13,807;16,500;21,500;25,552;23,539;22,459;24,943;21,628;17,717
47;ELETROBRAS;59852;ACEP JATAI;19,910;19,910;19,910;19,910;19,910;19,910;19,910;19,910;19,910;19,910;19,910;19,910
47;ELETROBRAS;59853;ACEP LINHA EMILIA;21,871;21,871;21,871;21,871;21,871;21,871;1,319;1,319;1,319;1,319;1,319;21,080
47;ELETROBRAS;59854;ACEP LUDESA;16,704;16,704;16,704;16,704;16,704;16,704;16,704;16,704;16,704;16,704;16,704;16,704
47;ELETROBRAS;59855;ACEP MAMBAI II;12,000;12,000;12,000;12,000;11,388;9,060;8,100;7,267;6,530;7,903;12,000;11,740
47;ELETROBRAS;59856;ACEP MONTE SERRAT;17,833;17,833;17,833;17,833;17,833;17,833;17,833;17,833;17,833;17,833;17,833;17,833
47;ELETROBRAS;59857;ACEP MOSQUITAO;19,590;19,590;19,590;19,590;19,590;19,590;19,590;19,590;19,590;19,590;19,590;19,590
