Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22
47;ELETROBRAS;59858;ACEP PARECIS;15,203;13,625;13,265;14,424;14,488;14,306;12,496;11,190;9,106;11,265;13,811;14,409
47;ELETROBRAS;59859;ACEP PIRANHAS;17,886;17,886;17,886;17,886;17,886;17,886;1,079;1,079;1,079;1,079;1,079;17,239
47;ELETROBRAS;59860;ACEP PLANO ALTO;10,204;10,204;10,204;10,204;10,204;10,204;10,204;10,204;10,204;10,204;10,204;10,204
47;ELETROBRAS;59861;ACEP RETIRO VELHO;12,958;12,958;12,958;12,958;12,958;12,958;12,958;12,958;12,958;12,958;12,958;12,958
47;ELETROBRAS;59862;ACEP RONDON;12,485;11,497;11,349;12,557;12,414;11,881;9,224;9,669;7,835;9,547;9,825;11,751
47;ELETROBRAS;59863;ACEP SALTO DAS FLORES;3,684;4,079;3,684;3,807;3,684;3,807;3,684;3,684;3,807;3,684;3,807;3,684
47;ELETROBRAS;59864;ACEP SANTA FE;25,720;25,720;25,720;25,720;25,720;25,720;25,720;25,720;25,720;25,720;25,720;25,720
47;ELETROBRAS;59865;ACEP SANTA LAURA;6,360;6,360;10,266;9,532;11,369;7,950;6,741;6,360;6,161;5,804;7,314;11,003
47;ELETROBRAS;59866;ACEP SANTA ROSA II;13,519;13,519;21,822;20,262;24,166;16,899;14,330;13,519;13,097;12,336;15,547;23,388
47;ELETROBRAS;59867;ACEP SAO BERNARDO;6,599;6,052;5,154;4,792;7,080;8,781;10,790;9,943;9,322;10,869;8,911;6,887
47;ELETROBRAS;59868;ACEP SAO JOAQUIM;13,199;13,199;13,199;13,199;13,199;13,199;13,199;13,199;13,199;13,199;13,199;13,199
47;ELETROBRAS;59869;ACEP SAO LOURENCO;24,799;28,498;28,092;23,959;21,909;14,722;13,172;11,291;10,139;11,559;20,556;23,925
47;ELETROBRAS;59870;ACEP SAO PEDRO;18,245;18,245;18,245;18,245;18,245;18,245;18,245;18,245;18,245;18,245;18,245;18,245
47;ELETROBRAS;59871;ACEP SAO SIMAO;15,036;15,036;15,036;15,036;15,036;15,036;15,036;15,036;15,036;15,036;15,036;15,036
47;ELETROBRAS;59872;ACEP SAPEZAL;15,297;15,302;15,172;15,283;15,192;15,146;13,144;10,739;8,387;11,490;13,240;13,911
47;ELETROBRAS;59873;ACEP SETE QUEDAS;11,149;13,153;12,544;10,686;9,448;7,960;6,305;5,259;5,196;6,765;9,311;11,224
47;ELETROBRAS;59874;ACEP TELEGRAFICA;27,606;28,140;28,274;28,990;27,078;26,176;25,616;24,617;19,668;24,715;22,646;23,761
47;ELETROBRAS;59875;ACEP TUDELANDIA;2,480;1,670;2,418;2,435;2,273;1,751;1,261;0,971;0,833;1,219;1,388;2,273
48;ELETRONORTE;48;ELETRONORTE;2.600,934;2.575,141;2.586,238;2.788,884;3.124,849;3.309,605;3.097,400;3.848,100;3.330,058;3.330,388;3.499,649;2.925,884
48;ELETRONORTE;11897;ELETRONORTE COARACY NUNES;57,994;59,440;58,546;56,554;54,245;53,627;53,060;54,244;56,029;57,508;57,328;57,746
48;ELETRONORTE;24305;ELETRONORTE UTE MAUA 3;484,400;484,400;484,400;484,400;484,400;484,400;484,400;484,400;484,400;484,400;484,400;484,400
48;ELETRONORTE;86024;ELETRONORTE SAMUEL;;;;;;;2,000;2,000;2,000;2,000;2,000;2,000
49;ELETROPAULO;49;ELETROPAULO;76,605;76,605;76,605;76,903;76,903;76,903;77,187;77,187;77,187;77,605;77,605;77,605
50;EMAE;11923;EMAE HENRY BORDEN;112,467;115,271;113,537;109,676;105,198;103,998;102,898;105,196;108,658;111,525;111,176;111,987
50;EMAE;11924;EMAE PORTO GOES;10,774;11,043;10,877;10,507;10,078;9,963;9,858;10,078;10,409;10,684;10,651;10,728
50;EMAE;11925;EMAE RASGAO;10,969;11,242;11,073;10,697;10,260;10,143;10,036;10,260;10,597;10,877;10,843;10,922
51;ENERGISA SE;51;ENERGISA SE;3,467;3,467;3,467;3,481;3,481;3,481;3,497;3,497;3,497;3,980;3,980;3,980
52;ENERGISA MS;52;ENERGISA MS;1,100;1,100;1,100;1,145;1,145;1,145;1,226;1,226;1,226;4,308;4,308;4,308
53;EDP C;53;EDP C;1.384,994;1.047,116;1.217,094;1.418,756;1.266,153;1.305,047;1.712,807;1.721,312;1.737,903;1.666,027;1.658,859;1.639,782
53;EDP C;2297;EDP C I1;17,821;1,471;1,080;2,150;12,970;9,447;14,021;13,976;15,061;9,199;13,807;13,905
53;EDP C;2298;EDP C I5;444,383;404,374;361,247;377,588;378,868;412,394;445,271;444,586;475,420;370,275;338,697;358,932
53;EDP C;3229;EDP C I0;;;;7,000;6,000;;;86,000;16,000;18,000;13,500;18,000
53;EDP C;4061;EDP C CQ5;26,855;38,074;42,454;61,328;66,367;47,544;72,833;78,342;75,812;68,373;79,301;77,135
53;EDP C;28426;EDP C INE;;;;;;;;;;6,578;2,343;15,150
55;ESCELSA;55;ESCELSA;116,287;116,287;116,287;110,028;110,017;107,291;127,106;125,686;125,635;130,678;130,678;130,678
56;FURNAS;56;FURNAS;1.964,237;2.041,976;2.012,767;1.794,411;1.779,868;1.791,308;1.881,413;1.886,004;1.895,213;1.904,870;1.908,653;1.897,940
56;FURNAS;4544;FURNAS 5LN12;245,700;245,700;245,700;245,700;245,700;245,700;245,700;245,700;245,700;245,700;245,700;245,700
56;FURNAS;11926;FURNAS CORUMBA I;201,403;206,425;203,320;196,405;188,385;186,237;184,268;188,382;194,582;199,716;199,091;200,544
56;FURNAS;11927;FURNAS ESTREITO;458,947;470,391;463,315;447,557;429,283;424,388;419,900;429,276;443,403;455,102;453,678;456,989
56;FURNAS;11928;FURNAS FUNIL;106,538;109,195;107,552;103,894;99,652;98,516;97,474;99,650;102,930;105,645;105,315;106,084
56;FURNAS;11929;FURNAS FURNAS;539,174;552,619;544,307;525,793;504,325;498,574;493,302;504,317;520,913;534,658;532,985;536,875
56;FURNAS;11930;FURNAS MARIMBONDO;638,949;654,882;645,031;623,092;597,651;590,836;584,588;597,642;617,309;633,597;631,615;636,225
56;FURNAS;11931;FURNAS PORTO COLOMBIA;172,313;176,610;173,954;168,037;161,176;159,338;157,653;161,173;166,477;170,870;170,335;171,579
56;FURNAS;24324;FURNAS JAGUARI;12,310;12,618;12,434;12,012;11,525;11,396;11,274;11,531;11,915;12,228;12,185;12,263
56;FURNAS;26617;FURNAS I5 -SUDESTE;1,990;1,990;1,990;1,985;1,981;1,973;1,999;1,999;1,998;1,996;2,010;1,988
57;ENGIE BR GER;57;ENGIE BR GER;2.432,523;3.204,390;3.418,624;3.140,398;3.024,956;2.936,989;2.969,798;3.289,157;2.996,360;3.064,279;3.552,476;3.506,322
57;ENGIE BR GER;17254;ENGIE BR GER I8;0,214;0,067;;0,021;0,077;0,092;0,143;0,222;0,282;0,287;0,351;0,257
57;ENGIE BR GER;20914;ENGIE BR GER I5;26,842;30,761;30,881;29,085;28,952;30,406;35,130;35,376;33,791;38,062;40,459;33,025
58;NC ENERGIA;58;NC ENERGIA;462,714;471,908;506,885;718,439;556,000;562,930;492,251;525,539;523,658;523,778;519,191;508,623
58;NC ENERGIA;2395;NC ENERGIA I5;468,517;499,485;480,482;456,823;401,473;477,317;495,560;529,799;485,775;527,636;572,339;513,691
58;NC ENERGIA;2480;NC ENERGIA I1;0,582;0,662;0,882;0,722;0,677;0,950;0,912;5,938;4,564;0,288;1,791;5,551
58;NC ENERGIA;3678;NC ENERGIA I0;0,400;;;;;;0,516;;;;;
61;ITASA;61;ITASA;400,332;392,016;392,016;392,016;392,016;392,016;392,016;392,016;392,016;392,016;392,016;392,016
62;ITAMBE;62;ITAMBE;21,361;24,918;22,496;16,911;22,098;23,077;24,439;22,796;21,957;22,947;22,483;20,960
62;ITAMBE;90744;ITAMBE INCENTIVADA;0,459;0,526;0,560;0,419;0,494;0,614;0,554;0,633;0,539;0,468;0,591;0,569
63;CPFL JAGUARI;63;CPFL JAGUARI;0,540;0,540;0,540;0,543;0,543;0,543;0,545;0,545;0,545;0,622;0,622;0,622
63;CPFL JAGUARI;73121;CPFL SANTA CRUZ;2,348;8,695;7,727;8,456;7,306;6,793;8,041;8,997;9,716;9,611;8,915;8,862
63;CPFL JAGUARI;73122;CPFL MOCOCA SE;0,081;0,081;0,081;0,081;0,081;0,081;0,082;0,082;0,082;0,093;0,093;0,093
63;CPFL JAGUARI;73123;CPFL LESTE PAULISTA;0,165;0,165;0,165;0,166;0,166;0,166;0,166;0,166;0,166;0,190;0,190;0,190
63;CPFL JAGUARI;73124;CPFL SUL PAULISTA;0,313;0,313;0,313;0,315;0,315;0,315;0,317;0,317;0,317;0,361;0,361;0,361
64;LIGHT;64;LIGHT;2,539;2,539;2,539;2,852;2,852;2,852;3,156;3,156;3,156;12,719;12,719;12,719
67;ROSAL;67;ROSAL;20,591;20,591;21,625;22,274;22,556;27,859;34,809;34,809;34,809;34,809;29,415;29,050
69;TRADENER;69;TRADENER;357,256;372,968;341,514;353,914;344,245;367,564;413,284;404,863;717,063;380,856;383,343;365,594
69;TRADENER;2269;TRADENER I5;216,789;235,017;238,422;240,263;231,519;236,542;245,078;249,992;255,002;253,936;253,658;228,704
69;TRADENER;18475;TRADENER I0;3,458;9,022;3,919;4,408;3,890;5,974;3,793;3,793;12,500;12,700;;0,034
69;TRADENER;87647;TRADENER INE I5;14,402;16,715;17,657;14,559;16,293;17,246;17,043;17,631;14,980;14,870;14,560;9,952
71;CDSA;71;CDSA;480,645;480,645;485,645;480,645;480,645;480,645;480,645;480,645;464,479;480,645;480,645;480,645
71;CDSA;2573;CDSA I5;10,000;10,000;;10,000;10,000;5,000;;;;;;
72;CBA;66418;CBA OURINHOS I5;0,753;0,600;0,620;0,821;0,651;0,951;0,875;0,642;1,005;0,845;0,500;0,794
72;CBA;86438;CBA FABRICA;215,139;265,139;256,139;242,139;170,139;185,329;208,289;212,669;213,329;203,139;293,139;333,139
77;ITIQUIRA;77;ITIQUIRA;92,054;97,136;146,278;93,840;20,850;15,575;56,460;79,314;81,013;81,858;94,097;104,849
77;ITIQUIRA;58706;ITIQUIRA I0;;;;;;;;23,238;;;;
77;ITIQUIRA;58707;ITIQUIRA I5;;0,758;;;;;;;0,000;;;
77;ITIQUIRA;71900;ITIQUIRA I5 B;;;;;;;;;24,711;;;
80;CEB LAJEADO;80;CEB LAJEADO;92,274;102,161;92,274;95,350;92,274;95,350;92,274;92,274;95,350;92,274;95,350;92,274
81;COPEL DISTRIB;81;COPEL DISTRIB;104,064;104,064;104,064;104,327;104,327;104,327;104,621;104,621;104,621;116,443;116,443;116,443
82;COPEL GET;82;COPEL GET;1.189,578;1.220,556;1.318,243;1.204,996;1.141,826;1.058,149;1.107,138;1.118,092;1.128,933;1.117,937;1.153,540;1.188,640
82;COPEL GET;2815;COP GET PIE I5;51,113;43,531;43,270;43,208;37,435;37,263;39,498;40,046;40,260;40,428;40,276;39,988
82;COPEL GET;29286;COPEL GET PIE I0;;0,750;;;;;;;0,400;;;
82;COPEL GET;58530;COPEL GET GOV PARIGOT;70,686;72,448;71,358;68,931;66,117;65,363;64,672;66,116;68,292;70,093;69,874;70,384
82;COPEL GET;83010;COPEL GET SE;127,888;131,812;129,508;126,752;119,004;120,774;120,779;120,214;125,005;128,069;125,492;125,297
82;COPEL GET;94052;COP GET PIE GUARICANA;;12,860;12,860;12,860;12,860;12,860;12,860;12,860;12,860;12,860;12,860;12,860
87;INVESTCO;87;INVESTCO;3,744;3,780;3,856;3,849;3,744;3,755;4,194;4,194;4,206;4,194;4,206;3,969
89;CPFL LAJEADO;89;CPFL LAJEADO;25,654;24,521;25,707;20,865;17,374;14,773;18,253;17,665;28,414;26,816;26,888;28,392
90;LAJEADO ENERG;90;LAJEADO ENERG;446,239;321,637;358,803;334,059;320,976;294,318;444,394;381,095;332,695;341,671;341,727;335,659
91;SA CARVALHO;91;SA CARVALHO;53,850;53,920;53,911;53,767;53,911;53,893;53,850;53,972;53,893;53,789;53,830;53,911
94;CPFL PIRATINGA;94;CPFL PIRATINGA;74,573;74,595;74,576;75,086;75,029;75,023;75,441;75,425;75,435;80,836;80,843;80,880
96;CESC;96;CESC;34,205;38,527;29,799;27,400;24,124;24,432;27,400;27,400;27,875;22,419;23,635;34,098
97;COMERC;97;COMERC;867,559;790,024;828,063;838,029;871,577;908,739;1.182,737;1.317,414;1.377,021;1.486,395;1.615,949;1.522,460
97;COMERC;2274;COMERC I1;7,695;8,034;10,292;9,292;9,242;9,133;10,025;9,700;9,489;10,423;9,975;10,231
97;COMERC;2277;COMERC I5;308,683;330,709;334,120;370,701;384,885;388,349;435,061;451,987;392,983;416,296;463,664;465,606
97;COMERC;3222;COMERC I0;4,871;3,814;3,838;4,302;4,048;0,876;5,429;1,414;8,765;2,863;0,609;0,703
97;COMERC;58681;COMERC CQ I5;36,318;43,085;46,417;34,680;28,889;31,093;44,657;50,275;48,532;52,951;59,065;53,960
101;AUREN;101;AUREN;1.122,432;1.163,575;1.211,811;1.115,459;1.125,631;1.278,512;1.468,174;1.534,847;1.454,381;1.514,362;1.495,832;1.632,570
101;AUREN;2282;AUREN I5;190,957;191,946;231,880;207,290;255,349;229,711;259,381;269,702;294,146;284,386;287,142;328,578
101;AUREN;2862;AUREN I1;1,225;1,293;1,268;1,223;7,076;6,128;0,758;0,854;8,798;0,772;0,667;0,658
101;AUREN;3228;AUREN I0;10,461;2,581;44,525;40,286;62,000;36,800;77,791;2,000;102,299;107,400;73,200;103,000
101;AUREN;68688;AUREN CQ I5;8,455;11,246;10,796;10,761;6,038;7,695;6,581;7,586;7,909;7,879;6,258;3,960
102;ALCOA;102;ALCOA;344,352;337,345;332,417;365,730;393,362;450,777;451,456;465,699;493,004;514,640;480,454;550,747
102;ALCOA;94932;ALCOA NORTE CONV - GER_AUTOPR;;;;33,000;73,000;120,000;110,231;;146,573;169,529;165,056;236,483
103;DMED;103;DMED;17,776;17,776;17,774;17,776;17,776;17,776;17,776;17,776;17,776;17,776;17,776;17,776
104;ICB COM;25604;ICB COM EI I0;0,164;0,159;0,159;0,154;0,149;0,149;0,149;;;;;
104;ICB COM;71669;ICB COM;118,601;128,852;134,723;120,990;124,481;150,538;178,789;178,697;211,774;215,066;207,622;198,882
104;ICB COM;84489;ICB COM EI I1;0,079;0,089;0,082;0,079;0,114;0,110;0,140;1,680;1,639;1,781;1,578;1,565
104;ICB COM;97809;ICB COM EI I5;;;;;;;;0,258;0,271;0,254;0,147;
112;ELECTRA ENERGY;112;ELECTRA ENERGY;825,727;675,781;638,048;605,013;669,988;556,868;703,639;440,409;684,870;604,162;737,326;773,933
112;ELECTRA ENERGY;2291;ELECTRA ENE I1;8,707;9,532;8,523;9,461;9,532;8,668;8,642;2,444;2,304;;;
112;ELECTRA ENERGY;2292;ELECTRA ENE I5;121,917;104,960;109,701;98,489;104,074;100,908;100,373;90,009;36,048;8,500;8,500;48,419
112;ELECTRA ENERGY;3922;ELECTRA ENE I0;11,587;71,606;51,030;13,710;6,595;55,104;14,085;28,929;20,276;61,763;10,238;16,369
112;ELECTRA ENERGY;43431;ELECTRA I1;;;;;;;;7,401;6,811;6,700;6,558;7,316
112;ELECTRA ENERGY;43445;ELECTRA I5;;;;;;;;100,933;65,754;110,520;114,292;112,887
114;FOZ DO CHOPIM;114;FOZ DO CHOPIM;;;;11,000;10,000;8,000;;;;;;
