Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;;377.464,169;343.286,814;320.211,504;242.623,418;207.857,905;216.824,942;193.392,377;193.674,292;201.460,340;221.936,301;280.056,489;370.817,540
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;;250.120,666;220.667,403;201.204,849;156.179,940;127.067,509;119.900,525;128.984,224;124.557,707;140.495,072;153.644,492;195.403,429;237.107,055
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;;233.737,400;206.707,847;176.470,814;222.341,919;256.042,825;216.150,886;267.507,348;248.110,269;186.808,141;215.580,958;172.099,997;211.361,033
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;;364.278,739;323.009,367;371.358,541;318.000,329;290.167,170;296.571,347;255.946,737;274.239,745;295.656,889;306.628,741;337.653,097;343.305,771
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;;272.732,134;241.823,707;251.300,496;205.311,796;170.108,962;158.517,134;161.298,431;164.835,259;200.273,448;214.588,751;243.698,009;250.685,457
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;;255.147,389;218.242,038;215.725,066;287.227,393;352.171,635;294.501,981;351.773,759;339.123,552;276.412,575;309.297,780;209.019,609;211.484,719
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;;57.560,411;49.405,676;55.865,077;47.382,926;42.688,736;43.411,087;36.690,593;39.104,757;45.167,877;46.311,898;50.004,629;51.290,350
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;;41.692,489;36.290,522;37.345,395;30.534,071;25.306,338;23.457,948;23.614,595;24.255,895;30.396,940;32.300,878;36.001,617;37.414,038
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;;37.766,043;32.510,604;31.847,096;43.054,461;52.974,846;44.270,868;52.809,288;50.208,736;42.785,279;46.890,146;30.461,821;30.607,374
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;;191.571,704;178.031,928;207.137,744;178.189,767;164.933,335;154.017,101;132.427,985;135.192,252;151.904,414;165.600,940;192.079,072;203.463,963
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;;115.178,646;111.887,547;116.399,911;96.063,357;79.932,197;68.120,282;68.116,590;66.529,437;83.341,343;95.060,870;112.372,089;119.130,359
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;;99.527,120;97.412,088;93.938,878;123.335,497;150.593,921;116.107,138;133.743,988;125.222,854;106.510,741;127.451,154;93.558,714;98.154,495
13;ENERGISA BO;ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A;;22.404,755;21.073,270;24.368,264;21.415,036;20.246,383;20.096,066;17.016,244;17.596,720;19.176,324;19.889,729;23.115,714;23.797,579
13;ENERGISA BO;ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A;;15.904,681;14.986,345;15.408,908;12.937,742;11.093,683;9.876,087;9.809,234;9.700,765;11.791,688;12.903,430;15.410,117;15.925,525
13;ENERGISA BO;ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A;;15.355,502;14.354,982;13.994,943;18.575,632;22.689,995;17.976,829;20.677,066;19.489,131;16.713,338;19.256,800;14.401,301;14.664,223
15;CELG;CELG DISTRIBUICAO S.A. - CELG D;;483.673,427;434.200,678;502.044,631;444.960,624;435.141,008;450.673,262;385.088,934;438.428,058;519.663,755;504.307,833;512.703,142;485.650,855
15;CELG;CELG DISTRIBUICAO S.A. - CELG D;;342.685,222;304.971,453;319.548,263;269.675,833;236.080,290;220.581,529;222.010,669;236.881,295;304.720,942;310.055,655;329.527,506;327.776,763
15;CELG;CELG DISTRIBUICAO S.A. - CELG D;;316.517,902;275.879,685;272.963,684;368.043,459;465.965,515;385.404,900;458.425,088;465.462,063;408.916,147;434.120,863;287.191,646;280.531,660
16;CELPA;CENTRAIS ELETRICAS DO PARA S.A. - CELPA;;408.293,531;372.928,000;430.206,379;390.442,210;388.128,453;416.971,695;374.595,338;408.421,683;432.049,745;422.626,190;454.669,398;460.524,217
16;CELPA;CENTRAIS ELETRICAS DO PARA S.A. - CELPA;;243.383,333;224.835,043;237.280,681;203.916,298;181.435,551;176.684,717;181.180,744;188.663,702;226.256,461;233.212,714;263.096,288;265.135,353
16;CELPA;CENTRAIS ELETRICAS DO PARA S.A. - CELPA;;214.314,979;195.249,570;192.952,877;262.459,479;345.416,987;307.020,753;356.429,680;359.065,170;296.926,125;317.097,614;221.995,893;222.410,318
17;CELPE;COMPANHIA ENERGETICA DE PERNAMBUCO;;586.735,609;546.062,044;635.316,609;552.332,441;528.130,417;504.878,140;417.223,008;432.773,091;479.368,753;507.038,388;581.870,856;613.477,938
17;CELPE;COMPANHIA ENERGETICA DE PERNAMBUCO;;360.736,071;344.704,735;363.481,921;301.293,131;260.531,791;224.162,893;217.370,793;216.558,084;263.529,830;293.963,553;347.046,070;365.883,447
17;CELPE;COMPANHIA ENERGETICA DE PERNAMBUCO;;325.740,990;307.558,176;301.028,893;394.768,373;489.431,690;381.937,416;427.138,524;409.638,104;348.900,058;405.847,883;299.915,881;311.137,392
18;ENERGISA TO;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;;90.937,921;86.354,233;100.489,807;93.477,588;94.990,530;97.073,778;85.145,753;95.198,064;107.607,355;91.371,720;96.628,220;101.144,613
18;ENERGISA TO;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;;56.082,232;54.404,945;57.546,561;50.609,288;46.443,231;42.904,575;43.162,896;46.085,758;58.437,518;52.506,426;57.946,353;59.907,938
18;ENERGISA TO;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;;52.632,779;51.331,925;49.600,607;67.169,475;88.706,584;74.658,828;84.772,031;88.648,494;77.762,831;71.285,566;50.528,702;51.912,095
19;CEMAR;COMPANHIA ENERGÉTICA DO MARANHÃO-CEMAR;;281.712,207;248.185,363;288.649,676;260.420,808;265.359,298;278.843,222;253.472,292;275.267,827;297.851,303;295.008,282;321.300,797;332.515,901
19;CEMAR;COMPANHIA ENERGÉTICA DO MARANHÃO-CEMAR;;173.360,280;158.091,767;166.348,610;141.924,434;127.868,021;122.224,233;125.771,413;132.084,080;161.382,125;168.347,774;191.235,069;195.115,953
19;CEMAR;COMPANHIA ENERGÉTICA DO MARANHÃO-CEMAR;;148.285,627;133.991,232;130.252,867;179.507,163;240.465,617;207.589,082;243.894,316;247.973,883;204.063,484;221.672,380;154.554,372;155.971,889
20;ENERGISA MT;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;;287.141,503;291.318,201;333.046,486;285.936,733;270.332,039;305.553,650;273.112,217;316.436,826;384.664,980;334.286,330;338.466,001;309.062,530
20;ENERGISA MT;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;;174.049,986;175.632,544;183.568,917;149.585,743;128.825,990;129.258,053;136.763,555;148.408,119;191.211,964;180.301,439;192.419,866;180.695,066
20;ENERGISA MT;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;;169.067,030;168.687,638;166.041,792;206.760,802;251.915,607;226.478,327;272.614,059;283.417,967;263.192,165;258.204,960;179.177,677;162.018,341
22;CEPISA;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;;180.140,501;155.982,510;179.272,492;160.889,351;166.752,190;175.070,226;159.701,698;175.860,026;197.232,588;196.242,124;216.493,026;220.345,208
22;CEPISA;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;;111.957,430;99.567,675;105.161,773;89.306,800;81.940,457;77.784,827;80.569,730;85.191,643;108.016,732;112.637,462;128.714,312;128.808,185
22;CEPISA;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;;97.371,616;87.165,920;84.670,574;115.087,618;155.242,147;132.874,346;156.821,351;159.651,939;136.390,816;148.961,923;105.442,497;103.134,538
24;AMPLA;AMPLA ENERGIA E SERVICOS S.A.;;623.318,982;518.089,753;587.285,215;492.852,738;420.086,190;405.810,600;329.559,483;347.359,545;394.334,230;435.472,630;472.667,843;524.473,513
24;AMPLA;AMPLA ENERGIA E SERVICOS S.A.;;388.526,142;320.843,271;339.895,911;267.205,608;208.918,315;185.186,591;179.990,818;179.560,525;229.511,624;261.553,032;290.847,046;323.688,268
24;AMPLA;AMPLA ENERGIA E SERVICOS S.A.;;333.124,291;272.127,316;271.450,285;340.575,220;403.362,967;322.631,699;371.847,353;348.601,634;299.662,548;349.411,097;232.827,470;259.869,605
30;COELBA;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;;883.489,775;807.657,855;911.529,215;793.227,735;757.755,061;727.341,499;637.523,047;669.537,463;739.318,356;777.084,090;886.663,858;922.694,702
30;COELBA;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;;553.849,923;515.789,170;529.107,962;436.794,843;379.650,363;329.155,126;335.170,412;339.635,587;408.953,522;452.515,379;524.213,831;552.767,326
30;COELBA;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;;504.249,392;468.285,015;443.907,673;580.238,053;714.898,292;557.105,283;660.428,433;639.207,644;542.458,173;623.199,733;448.713,100;468.823,296
31;COELCE;COMPANHIA ENERGETICA DO CEARA;;467.397,874;416.331,998;460.111,098;413.756,671;411.401,496;428.733,536;388.153,803;412.013,274;446.077,310;456.805,739;515.845,465;531.586,597
31;COELCE;COMPANHIA ENERGETICA DO CEARA;;300.700,509;273.565,876;274.150,127;234.023,717;209.447,246;196.602,093;204.547,248;208.525,152;249.506,912;269.383,626;314.347,123;323.459,245
31;COELCE;COMPANHIA ENERGETICA DO CEARA;;275.914,186;248.571,602;227.068,556;313.668,698;405.028,234;343.862,273;406.189,384;399.806,190;335.147,856;378.287,411;275.320,580;277.078,619
33;COSERN;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;;223.195,308;196.930,601;219.944,306;191.829,126;185.906,683;186.674,049;167.552,589;179.990,317;197.963,182;205.688,044;231.710,530;241.967,615
33;COSERN;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;;135.858,525;123.713,800;126.047,241;105.245,923;93.197,625;84.167,262;88.148,109;90.201,617;107.535,009;117.145,165;135.192,389;141.243,650
33;COSERN;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;;129.923,671;115.515,716;108.446,120;140.364,931;177.083,901;145.563,591;173.189,599;169.747,674;143.875,445;163.239,754;121.230,511;124.927,854
34;CPFL PAULISTA;COMPANHIA PAULISTA DE FORCA E LUZ;;969.040,296;855.563,288;952.798,474;824.242,013;727.259,853;730.012,096;641.415,733;717.224,261;841.726,072;908.365,419;934.541,440;931.982,603
34;CPFL PAULISTA;COMPANHIA PAULISTA DE FORCA E LUZ;;697.239,403;601.727,414;624.920,341;512.105,877;414.933,322;379.159,094;389.748,926;410.903,201;525.511,919;581.513,595;637.390,642;639.336,940
34;CPFL PAULISTA;COMPANHIA PAULISTA DE FORCA E LUZ;;679.789,645;567.485,126;564.301,229;740.549,861;865.581,988;700.038,841;837.905,232;843.082,483;748.007,548;861.854,137;591.043,233;566.145,883
36;VMZ;NEXA RECURSOS MINERAIS S.A.;;64.168,611;61.444,542;71.001,281;65.402,768;63.867,165;66.480,072;60.699,316;63.041,210;62.003,557;63.217,578;66.660,300;71.468,425
36;VMZ;NEXA RECURSOS MINERAIS S.A.;;33.431,259;31.591,792;33.352,419;29.937,516;27.758,215;25.763,565;27.632,385;27.489,374;29.044,777;30.709,949;32.406,320;35.517,541
36;VMZ;NEXA RECURSOS MINERAIS S.A.;;29.442,526;27.529,172;26.870,773;35.429,912;46.808,502;38.974,709;47.904,448;46.423,470;34.389,918;38.020,730;26.361,076;29.732,021
39;CVRD;VALE S.A.;;265.348,038;156.558,802;186.393,293;158.276,632;152.872,541;168.147,388;136.687,678;134.000,701;150.566,672;145.831,557;159.929,927;158.691,690
39;CVRD;VALE S.A.;;144.486,735;84.888,675;91.393,067;72.260,204;64.947,216;65.139,951;60.951,149;58.310,717;68.965,832;72.180,703;79.826,140;82.165,083
39;CVRD;VALE S.A.;;117.705,685;69.135,584;72.160,197;90.274,145;111.487,187;100.924,884;107.319,653;101.571,588;83.027,245;93.750,528;63.458,218;64.595,892
46;ELEKTRO;ELEKTRO REDES S.A.;;558.040,127;464.877,732;524.924,823;444.711,259;390.762,942;397.391,153;345.036,316;375.845,993;425.400,718;460.335,965;490.825,005;500.971,953
46;ELEKTRO;ELEKTRO REDES S.A.;;382.053,916;316.621,036;331.486,436;269.166,868;218.488,481;202.858,938;207.469,049;214.679,943;265.967,741;293.715,401;325.004,151;340.344,073
46;ELEKTRO;ELEKTRO REDES S.A.;;357.550,658;288.764,268;286.700,813;371.154,965;440.292,301;364.623,453;439.045,107;431.207,210;365.472,536;418.715,404;284.367,078;286.470,656
48;ELETRONORTE;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A ELETRONORTE;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
48;ELETRONORTE;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A ELETRONORTE;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
48;ELETRONORTE;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A ELETRONORTE;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
49;ELETROPAULO;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;;1.357.309,406;1.233.009,902;1.419.683,941;1.225.451,086;1.123.658,824;1.160.282,646;995.667,494;1.071.995,399;1.154.420,155;1.174.964,386;1.291.200,946;1.304.743,696
49;ELETROPAULO;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;;1.047.281,738;948.402,448;976.293,552;798.215,802;668.885,137;621.480,001;632.513,867;647.442,963;781.283,736;829.618,485;939.946,786;958.414,755
49;ELETROPAULO;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;;1.040.508,024;899.134,289;886.403,676;1.169.261,825;1.418.221,403;1.183.121,876;1.399.807,247;1.357.894,285;1.122.055,739;1.248.722,540;847.913,061;856.380,010
51;ENERGISA SE;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;;135.889,080;126.689,465;145.771,328;128.036,843;119.565,173;110.149,802;96.337,665;99.896,328;109.316,108;115.508,529;131.678,581;138.651,320
51;ENERGISA SE;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;;84.683,898;80.790,645;84.208,342;70.435,227;60.191,920;50.111,341;50.568,914;50.936,578;61.232,947;68.229,808;79.887,641;83.927,831
51;ENERGISA SE;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;;78.899,081;74.709,463;70.857,295;93.090,106;113.789,611;85.575,122;99.568,565;96.481,587;80.847,592;94.715,271;69.479,695;72.345,004
52;ENERGISA MS;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;;233.235,453;213.451,258;232.509,689;194.019,228;160.482,528;165.266,973;141.017,216;157.521,893;197.358,547;207.244,271;233.507,852;218.253,364
52;ENERGISA MS;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;;146.307,097;133.548,125;136.962,168;110.477,217;84.467,505;78.131,221;79.725,482;83.168,824;112.370,165;121.859,816;142.048,695;135.356,356
52;ENERGISA MS;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;;138.169,858;122.365,123;117.204,345;150.984,820;169.784,790;138.613,010;166.647,849;167.887,564;151.835,648;171.788,093;125.354,593;115.834,384
55;ESCELSA;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.;;342.158,664;312.348,547;357.246,336;296.724,683;260.457,920;251.968,415;210.787,324;219.662,796;255.987,818;260.215,904;286.095,139;301.466,051
55;ESCELSA;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.;;222.137,426;202.142,211;209.056,816;163.090,411;134.648,479;117.433,313;116.819,877;115.913,263;148.260,421;159.014,646;179.460,835;190.496,048
55;ESCELSA;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.;;202.516,102;185.534,379;180.052,030;220.402,548;266.218,398;210.378,209;243.824,489;226.544,202;201.185,512;224.681,600;154.040,847;162.835,663
56;FURNAS;FURNAS-CENTRAIS ELETRICAS S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
56;FURNAS;FURNAS-CENTRAIS ELETRICAS S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
56;FURNAS;FURNAS-CENTRAIS ELETRICAS S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
63;CPFL JAGUARI;COMPANHIA JAGUARI DE ENERGIA;;15.393,417;14.166,027;16.165,799;14.120,383;13.291,190;12.960,767;11.440,733;12.666,825;13.874,844;14.443,385;14.665,895;13.697,245
63;CPFL JAGUARI;COMPANHIA JAGUARI DE ENERGIA;;10.984,082;9.932,496;10.221,417;8.434,721;7.424,653;6.580,599;6.832,063;7.138,400;8.379,409;9.027,760;9.691,366;9.169,135
63;CPFL JAGUARI;COMPANHIA JAGUARI DE ENERGIA;;10.945,210;9.719,097;9.658,259;12.521,422;15.205,960;12.191,163;14.339,582;14.405,978;12.180,435;13.850,086;9.273,079;8.418,945
64;LIGHT;LIGHT SERVICOS DE ELETRICIDADE S A;;1.500.979,199;1.231.312,717;1.333.579,914;1.148.535,532;968.296,244;898.445,224;710.404,461;743.142,819;861.497,889;996.399,191;1.050.271,355;1.205.022,965
64;LIGHT;LIGHT SERVICOS DE ELETRICIDADE S A;;928.290,422;739.073,137;755.766,044;598.159,431;472.424,194;399.602,006;384.789,229;378.203,656;484.512,541;569.313,685;619.285,496;709.821,623
64;LIGHT;LIGHT SERVICOS DE ELETRICIDADE S A;;814.535,425;645.370,833;625.496,341;780.871,643;910.055,178;705.963,178;797.174,128;743.301,226;659.294,893;781.464,790;523.485,788;594.291,425
66;RGE;RIO GRANDE ENERGIA S.A.;;364.977,391;320.047,410;355.588,721;298.630,195;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
66;RGE;RIO GRANDE ENERGIA S.A.;;268.127,322;231.539,216;235.504,209;195.316,426;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
66;RGE;RIO GRANDE ENERGIA S.A.;;262.561,398;225.394,684;214.681,396;285.666,992;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
68;ENERGISA PB;ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A;;191.689,516;167.384,725;194.222,827;170.120,340;162.909,765;158.037,760;137.294,033;144.285,009;160.136,656;170.224,172;195.437,578;205.873,747
68;ENERGISA PB;ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A;;118.049,835;106.281,778;112.259,810;93.958,415;80.517,530;70.793,712;71.624,652;72.289,386;88.889,433;99.139,521;116.895,589;123.127,478
68;ENERGISA PB;ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A;;104.442,601;92.136,700;90.736,740;120.907,818;150.477,868;118.124,426;138.712,532;134.091,075;113.241,971;131.194,887;96.163,777;99.838,380
72;CBA;COMPANHIA BRASILEIRA DE ALUMINIO;;196.684,502;151.479,276;160.990,751;145.188,571;134.909,994;161.779,050;148.422,443;134.739,217;146.670,939;165.436,285;147.720,663;144.837,020
72;CBA;COMPANHIA BRASILEIRA DE ALUMINIO;;108.594,778;84.591,961;79.242,367;67.605,885;57.571,308;64.278,865;64.593,974;55.908,226;65.478,614;77.194,854;72.366,883;71.822,815
72;CBA;COMPANHIA BRASILEIRA DE ALUMINIO;;94.172,977;73.678,300;65.226,332;87.012,952;101.955,235;107.147,826;122.962,762;99.338,000;86.065,220;104.404,670;60.963,556;60.943,437
81;COPEL DISTRIB;COPEL DISTRIBUICAO S.A.;;908.042,023;806.315,394;884.058,136;746.798,457;669.247,093;698.131,025;599.538,465;632.140,276;691.016,634;743.253,387;823.488,970;823.119,871
81;COPEL DISTRIB;COPEL DISTRIBUICAO S.A.;;653.535,525;571.281,091;582.104,164;476.424,849;393.924,184;372.437,613;377.992,671;376.611,243;457.036,945;498.175,316;568.088,943;572.948,997
81;COPEL DISTRIB;COPEL DISTRIBUICAO S.A.;;628.839,909;534.184,114;516.439,822;673.969,210;809.126,737;683.414,009;807.460,254;768.952,727;635.433,781;720.844,006;503.725,388;492.604,156
94;CPFL PIRATINGA;COMPANHIA PIRATININGA DE FORCA E LUZ;;405.847,874;339.041,223;381.145,350;321.866,683;286.887,415;286.758,109;246.196,831;257.905,703;278.282,183;300.415,549;328.301,687;345.147,674
94;CPFL PIRATINGA;COMPANHIA PIRATININGA DE FORCA E LUZ;;282.952,363;235.434,912;243.608,877;195.731,863;160.225,984;146.537,145;148.508,181;148.467,411;180.005,748;199.535,488;223.931,928;237.826,788
94;CPFL PIRATINGA;COMPANHIA PIRATININGA DE FORCA E LUZ;;267.780,109;216.323,242;215.013,223;278.136,568;329.176,562;270.632,837;319.903,251;305.343,736;252.124,184;293.502,828;197.975,017;204.841,000
102;ALCOA;ALCOA ALUMINIO S/A;;6.278,251;6.048,085;7.458,817;5.852,133;6.796,393;11.265,502;6.237,758;6.349,050;6.414,090;5.862,773;6.674,174;6.309,065
102;ALCOA;ALCOA ALUMINIO S/A;;3.485,785;3.400,130;3.629,148;2.751,360;2.937,247;4.413,536;2.811,348;2.734,668;2.964,719;2.922,649;3.437,768;3.369,398
102;ALCOA;ALCOA ALUMINIO S/A;;2.969,683;2.907,173;3.024,324;3.539,097;5.294,696;7.372,638;5.149,487;4.942,565;3.836,944;3.949,429;2.807,969;2.873,643
103;DMED;DME DISTRIBUICAO S.A. - DMED;;11.235,551;10.495,503;12.482,798;10.648,404;9.877,804;10.671,607;9.344,000;9.937,010;10.672,823;10.680,113;11.922,921;11.821,364
103;DMED;DME DISTRIBUICAO S.A. - DMED;;8.916,428;8.278,771;8.684,080;7.123,823;5.805,540;5.720,779;5.859,361;5.958,325;7.287,855;7.660,010;8.755,137;8.906,261
103;DMED;DME DISTRIBUICAO S.A. - DMED;;7.972,552;7.106,222;7.026,016;9.516,334;11.934,364;10.560,847;12.692,036;12.149,033;9.653,451;10.649,921;7.171,494;7.276,684
104;ICB;INTERCEMENT BRASIL S.A.;;37.556,296;32.494,104;39.490,091;38.847,734;39.912,722;38.605,448;35.644,941;39.006,668;35.234,772;38.552,743;44.134,735;35.793,405
104;ICB;INTERCEMENT BRASIL S.A.;;18.156,702;14.958,146;17.230,679;16.732,095;16.750,110;14.753,778;15.983,361;16.707,275;15.385,880;18.096,590;19.224,908;16.594,644
104;ICB;INTERCEMENT BRASIL S.A.;;18.094,569;15.189,657;15.442,416;19.232,083;25.828,532;20.576,320;24.956,989;25.180,644;17.951,672;21.976,766;16.672,802;15.130,069
146;IENERGIA;IGUACU DISTRIBUIDORA DE ENERGIA ELETRICA LTDA.;;7.723,419;6.974,996;8.194,784;6.676,853;6.159,767;6.285,302;5.645,089;6.054,800;6.648,337;6.946,851;7.523,186;7.804,735
146;IENERGIA;IGUACU DISTRIBUIDORA DE ENERGIA ELETRICA LTDA.;;5.814,034;5.073,380;5.236,428;4.268,259;3.821,219;3.543,486;3.848,436;3.849,283;4.372,511;4.675,438;5.309,933;5.447,977
146;IENERGIA;IGUACU DISTRIBUIDORA DE ENERGIA ELETRICA LTDA.;;6.042,581;5.114,564;5.069,638;6.498,193;7.775,761;6.533,674;8.144,267;7.832,781;6.514,503;7.392,744;5.236,107;5.211,124
151;NOVELIS;NOVELIS DO BRASIL LTDA.;;19.019,993;17.025,888;20.177,480;18.417,171;16.986,352;18.261,000;14.546,935;17.745,800;17.337,950;16.751,092;18.196,651;17.873,515
151;NOVELIS;NOVELIS DO BRASIL LTDA.;;10.130,744;8.815,833;9.763,220;8.164,469;7.299,062;7.087,348;6.415,775;7.446,645;7.718,285;8.344,504;9.213,031;8.813,498
151;NOVELIS;NOVELIS DO BRASIL LTDA.;;8.206,617;7.302,652;7.713,496;10.165,054;12.828,767;10.685,449;11.542,676;12.922,898;9.436,176;10.909,862;7.262,713;7.535,431
198;CUMMINS;CUMMINS BRASIL LIMITADA;;815,705;854,368;690,604;635,777;661,001;554,763;591,706;660,812;611,548;645,850;582,495;386,221
198;CUMMINS;CUMMINS BRASIL LIMITADA;;679,801;711,747;643,495;514,862;442,730;346,139;404,512;428,566;478,946;498,297;520,130;332,043
198;CUMMINS;CUMMINS BRASIL LIMITADA;;706,027;724,818;657,565;866,908;1.029,557;807,072;908,315;985,913;802,899;873,174;591,794;371,914
201;CHEMTRADE;CHEMTRADE BRASIL LTDA;;15.561,026;12.997,601;12.820,243;14.526,597;15.792,016;14.605,609;9.653,215;11.359,629;11.410,331;9.007,364;8.781,697;11.207,405
201;CHEMTRADE;CHEMTRADE BRASIL LTDA;;8.350,857;7.191,113;6.134,328;6.634,795;6.714,109;5.609,883;4.558,901;4.886,449;5.286,854;4.453,063;4.172,118;5.610,011
201;CHEMTRADE;CHEMTRADE BRASIL LTDA;;7.125,571;6.130,610;5.039,414;8.258,328;11.635,102;8.807,481;8.694,889;8.362,054;6.832,261;5.769,871;3.261,561;4.502,283
1036;CIPLAN;CIPLAN CIMENTO PLANALTO SA;;9.805,063;9.899,600;10.600,236;9.804,293;9.940,555;10.226,134;10.389,106;8.312,709;8.333,821;10.342,834;11.363,764;10.862,193
1036;CIPLAN;CIPLAN CIMENTO PLANALTO SA;;4.647,604;4.524,950;4.675,585;4.041,994;4.331,433;3.953,009;4.670,075;3.508,120;3.727,822;4.728,656;4.964,861;4.879,031
1036;CIPLAN;CIPLAN CIMENTO PLANALTO SA;;4.653,302;4.330,550;4.426,245;4.992,041;6.878,414;5.749,944;7.416,209;5.637,752;4.506,723;5.936,440;4.553,725;4.509,911
1044;ADM;ADM DO BRASIL LTDA;;7.725,897;8.206,352;10.219,960;8.937,811;7.635,838;7.349,658;7.584,118;7.940,236;8.261,799;8.470,846;8.622,042;8.224,679
1044;ADM;ADM DO BRASIL LTDA;;4.357,034;4.502,637;4.995,868;4.085,508;3.228,726;2.875,450;3.387,902;3.404,678;3.825,784;4.174,749;4.352,550;4.363,711
1044;ADM;ADM DO BRASIL LTDA;;3.714,303;3.890,410;4.120,787;5.193,676;5.731,989;4.628,837;6.160,236;6.016,248;4.763,839;5.475,221;3.542,835;3.618,788
1046;DURA UBE;DURATEX S.A.;;5.859,987;5.460,824;6.736,937;5.601,389;4.705,421;5.483,928;4.984,545;5.135,718;5.038,922;4.111,037;5.869,075;5.662,181
1046;DURA UBE;DURATEX S.A.;;3.299,204;2.991,729;3.329,368;2.588,469;2.113,537;2.211,688;2.337,778;2.317,950;2.496,288;2.211,349;3.224,150;3.085,799
1046;DURA UBE;DURATEX S.A.;;2.743,321;2.497,841;2.631,610;3.333,380;3.915,785;3.638,247;4.447,525;4.270,627;3.251,615;3.018,904;2.691,459;2.722,843
