Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
86781;ICB PEDRO LEOPOLDO AUT EI;INTERCEMENT BRASIL S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;71,998
86781;ICB PEDRO LEOPOLDO AUT EI;INTERCEMENT BRASIL S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;38,477
86781;ICB PEDRO LEOPOLDO AUT EI;INTERCEMENT BRASIL S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;26,781
86787;C VALE TERRA NOVA;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2,185;2,281;0,000;0,000
86787;C VALE TERRA NOVA;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,449;2,453;0,000;0,000
86787;C VALE TERRA NOVA;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;3,084;5,877;0,000;0,000
86788;C VALE SÃO CAMILO;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;3,082;2,785;0,000;0,000
86788;C VALE SÃO CAMILO;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,787;1,978;0,000;0,000
86788;C VALE SÃO CAMILO;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4,026;3,891;0,000;0,000
86842;SANTOS BRASIL GUARUJA;SANTOS BRASIL LOGISTICA S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;26,752;26,370;30,770
86842;SANTOS BRASIL GUARUJA;SANTOS BRASIL LOGISTICA S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;17,329;19,067;20,365
86842;SANTOS BRASIL GUARUJA;SANTOS BRASIL LOGISTICA S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;22,308;12,954;14,578
86843;SANTOS BRASIL SBC;SANTOS BRASIL LOGISTICA S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;48,123
86843;SANTOS BRASIL SBC;SANTOS BRASIL LOGISTICA S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;31,431
86843;SANTOS BRASIL SBC;SANTOS BRASIL LOGISTICA S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;31,953
86844;BRF FAX;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;400,860;402,025;438,693;457,258
86844;BRF FAX;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;192,699;202,707;228,115;247,376
86844;BRF FAX;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;282,037;331,475;245,274;254,407
86845;BRF ITAJ;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;77,877;89,987;110,510;125,646
86845;BRF ITAJ;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;43,790;50,263;58,670;66,789
86845;BRF ITAJ;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;56,455;68,001;50,484;55,609
86846;BRF RIBN;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;238,783;249,434;276,702;310,737
86846;BRF RIBN;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;133,331;144,788;147,179;153,800
86846;BRF RIBN;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;156,642;177,331;132,244;141,169
86847;BRF DDC;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;328,426;342,154;376,816;408,731
86847;BRF DDC;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;163,697;175,435;206,560;219,647
86847;BRF DDC;BRF S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;210,962;240,001;166,307;188,475
86850;ASTECA BORRACHAS;ASTECA INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHAS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;19,193;11,483;2,051
86850;ASTECA BORRACHAS;ASTECA INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHAS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;14,154;9,042;1,499
86850;ASTECA BORRACHAS;ASTECA INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHAS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;36,120;19,871;2,629
86852;ALESTIS DO BRASIL;ALESTIS DO BRASIL INDUSTRIA  AEROESPACIAL LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;130,958;109,698;74,665
86852;ALESTIS DO BRASIL;ALESTIS DO BRASIL INDUSTRIA  AEROESPACIAL LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;109,881;111,451;76,708
86852;ALESTIS DO BRASIL;ALESTIS DO BRASIL INDUSTRIA  AEROESPACIAL LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;163,821;91,669;63,957
86857;AGUAS CUIABA;AGUAS CUIABA S.A. - CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;975,789
86857;AGUAS CUIABA;AGUAS CUIABA S.A. - CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;515,581
86857;AGUAS CUIABA;AGUAS CUIABA S.A. - CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;453,415
86861;NKG STOCKLER;NKG STOCKLER LTDA.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;75,283;70,272
86861;NKG STOCKLER;NKG STOCKLER LTDA.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;43,959;42,740
86861;NKG STOCKLER;NKG STOCKLER LTDA.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;53,727;51,353
